t_start_utc,value.time,index,activity_counts,cadence,step_count,run_walk_time
2022-12-27 03:00:00.022937500+00:00,1672110000062.9375,0,9.465030877775131,,0,0
2022-12-27 03:05:00.022937500+00:00,1672110300062.9375,0,6.548609956248963,,0,0
2022-12-27 03:10:00.022937500+00:00,1672110600062.9375,0,7.37454301421649,,0,0
2022-12-27 03:15:00.022937500+00:00,1672110900062.9375,0,6.788945530369501,,0,0
2022-12-27 03:20:00.022937500+00:00,1672111200062.9375,0,6.846041894852187,,0,0
2022-12-27 03:25:00.022937500+00:00,1672111500062.9375,0,7.569236008648278,,0,0
2022-12-27 03:30:00.022937500+00:00,1672111800062.9375,0,7.263300884732146,,0,0
2022-12-27 03:35:00.022937500+00:00,1672112100062.9375,0,12.528147232428854,1.9500000000000013,5,3
2022-12-27 03:40:00.022937500+00:00,1672112400062.9375,0,7.632930513691162,,0,0
2022-12-27 03:45:00.022937500+00:00,1672112700062.9375,0,4.806523591335816,,0,0
2022-12-27 03:50:00.022937500+00:00,1672113000062.9375,0,10.548945553106634,,0,0
2022-12-27 03:55:00.022937500+00:00,1672113300062.9375,0,9.372888358296688,,0,0
